  name              ra_Deg       dec_Deg      OBS_ID         redshift   nh_gal   SUBMODE                   FILTER   radius_arcmin   counts    exposure      count_rate     
  Mrk279            208.264362   69.308213    0302480501     0.03045    0.0152   PrimeSmallWindow          Medium   0.925926        19144.0   37686.16016   0.5079848921   
  Mrk279            208.264362   69.308213    0302480601     0.03045    0.0152   PrimeSmallWindow          Medium   0.925926        8519.0    21756.11914   0.3915679973   
  Mrk509            311.040577   -10.723484   0130720101     0.0344     0.0425   PrimeSmallWindow          Thin1    0.925926        5986.0    20700.51953   0.2891714863   
  Mrk509            311.040577   -10.723484   0130720201     0.0344     0.0425   PrimeSmallWindow          Thin1    0.925926        20570.0   27200.28906   0.7562419632   
  Mrk509            311.040577   -10.723484   0306090201     0.0344     0.0425   PrimeSmallWindow          Thin1    0.925926        12218.0   59809.67188   0.2042813414   
  Mrk509            311.040577   -10.723484   0306090301     0.0344     0.0425   PrimeSmallWindow          Thin1    0.925926        6529.0    32432.16992   0.2013124628   
  Mrk509            311.040577   -10.723484   0306090401     0.0344     0.0425   PrimeSmallWindow          Thin1    0.925926        14984.0   48623.35938   0.3081646392   
  Mrk509            311.040577   -10.723484   0601390201     0.0344     0.0425   PrimeSmallWindow          Thin1    0.925926        9802.0    40025.19922   0.2448957205   
  Mrk509            311.040577   -10.723484   0601390301     0.0344     0.0425   PrimeSmallWindow          Thin1    0.925926        17755.0   44403.96094   0.3998517165   
  Mrk509            311.040577   -10.723484   0601390401     0.0344     0.0425   PrimeSmallWindow          Thin1    0.925926        11037.0   42373.69141   0.2604682206   
  Mrk509            311.040577   -10.723484   0601390501     0.0344     0.0425   PrimeSmallWindow          Thin1    0.925926        10896.0   42372.53125   0.2571477247   
  Mrk509            311.040577   -10.723484   0601390601     0.0344     0.0425   PrimeSmallWindow          Thin1    0.925926        11768.0   43702.98828   0.2692722046   
  Mrk509            311.040577   -10.723484   0601390701     0.0344     0.0425   PrimeSmallWindow          Thin1    0.925926        11782.0   43849.78906   0.268690004    
  Mrk509            311.040577   -10.723484   0601390801     0.0344     0.0425   PrimeSmallWindow          Thin1    0.925926        12527.0   42345.46094   0.2958286372   
  Mrk509            311.040577   -10.723484   0601390901     0.0344     0.0425   PrimeSmallWindow          Thin1    0.925926        10654.0   42348.44922   0.2515794603   
  Mrk509            311.040577   -10.723484   0601391001     0.0344     0.0425   PrimeSmallWindow          Thin1    0.925926        12407.0   45584.46875   0.2721760358   
  Mrk509            311.040577   -10.723484   0601391101     0.0344     0.0425   PrimeSmallWindow          Thin1    0.925926        10563.0   43701.76953   0.2417064598   
  Mrk590            33.639844    -0.766693    0201020201     0.02638    0.0265   PrimeSmallWindow          Thin1    0.925926        9158.0    42831.55859   0.2138143066   
  Mrk590            33.639844    -0.766693    0201020201_1   0.02638    0.0265   PrimeSmallWindow          Thin1    0.925926        12505.0   29372.33984   0.4257406821   
  MR2251-178        343.524167   -17.581944   0012940101     0.06398    0.0242   PrimeSmallWindow          Thin1    0.925926        22217.0   44244.14062   0.5021455878   
  MR2251-178        343.524167   -17.581944   0670120201     0.06398    0.0242   PrimeSmallWindow          Thin1    0.666667        10881.0   92194.14062   0.1180226848   
  MR2251-178        343.524167   -17.581944   0670120301     0.06398    0.0242   PrimeSmallWindow          Thin1    0.666667        7056.0    89021.6875    0.07926158443  
  MR2251-178        343.524167   -17.581944   0670120401     0.06398    0.0242   PrimeSmallWindow          Thin1    0.666667        9892.0    91105.95312   0.1085768785   
  MR2251-178        343.524167   -17.581944   0763920501     0.06398    0.0242   PrimeSmallWindow          Thin1    0.925926        5360.0    12540.91016   0.427401196    
  MR2251-178        343.524167   -17.581944   0763920601     0.06398    0.0242   PrimeSmallWindow          Thin1    0.925926        3663.0    16620.14062   0.2203952471   
  MR2251-178        343.524167   -17.581944   0763920701     0.06398    0.0242   PrimeSmallWindow          Thin1    0.925926        6929.0    19753.58008   0.3507718587   
  MR2251-178        343.524167   -17.581944   0763920801     0.06398    0.0242   PrimeSmallWindow          Thin1    0.925926        7364.0    21685.36914   0.3395837974   
  NGC7213           332.317958   -47.166611   0111810101     0.00584    0.0106   PrimeSmallWindow          Medium   0.748098        1777.0    29585.68945   0.06006282202  
  NGC7213           332.317958   -47.166611   0605800301     0.00584    0.0106   PrimeSmallWindow          Medium   0.925926        21108.0   87711.20312   0.2406534085   
  NGC985            38.657371    -8.787621    0150470601     0.04314    0.0317   PrimeSmallWindow          Thin1    0.925926        12574.0   31413.36914   0.4002754351   
  NGC985            38.657371    -8.787621    0690870101     0.04314    0.0317   PrimeFullWindow           Thin1    1.33333         1423.0    15875.09961   0.08963723284  
  NGC985            38.657371    -8.787621    0690870501     0.04314    0.0317   PrimeSmallWindow          Thin1    0.925926        8487.0    71607.65625   0.118520846    
  NGC985            38.657371    -8.787621    0743830501     0.04314    0.0317   PrimeSmallWindow          Thin1    0.925926        27385.0   93961.71875   0.2914484789   
  NGC985            38.657371    -8.787621    0743830601     0.04314    0.0317   PrimeSmallWindow          Thin1    0.925926        24044.0   82632.07812   0.2909765862   
  PICTORA           79.957171    -45.778828   0090050701     0.03506    0.0312   PrimeFullWindow           Thin1    1.33333         581.0     5860.041992   0.09914604721  
  PICTORA           79.957171    -45.778828   0206390101     0.03506    0.0312   PrimeFullWindow           Thin1    1.33333         3882.0    38611.30078   0.1005405133   
